recv_ts_utc,exch_ts_ms,inst_id,side,pos_side,sz,bk_px,raw_json
2026-09-01T00:18:20.265040Z,1788221898998,BICO-USDT-SWAP,buy,short,367,0.02362,"{""bkLoss"":""0"",""bkPx"":""0.02362"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""367"",""ts"":""1788221898998""}"
2026-09-01T00:18:23.871380Z,1788221902860,UNI-USDT-SWAP,buy,short,1137,5.365,"{""bkLoss"":""0"",""bkPx"":""5.365"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1137"",""ts"":""1788221902860""}"
2026-09-01T00:18:24.749907Z,1788221903475,UNI-USDT-SWAP,buy,short,9271,5.368,"{""bkLoss"":""0"",""bkPx"":""5.368"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""9271"",""ts"":""1788221903475""}"
2026-09-01T00:18:25.064725Z,1788221904288,UNI-USDT-SWAP,buy,short,1500,5.376,"{""bkLoss"":""0"",""bkPx"":""5.376"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1500"",""ts"":""1788221904288""}"
2026-09-01T00:18:25.275497Z,1788221904241,AAVE-USDT-SWAP,buy,short,19.3,125.22,"{""bkLoss"":""0"",""bkPx"":""125.22"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""19.3"",""ts"":""1788221904241""}"
2026-09-01T00:18:31.294477Z,1788221910452,ZEC-USDT-SWAP,buy,short,200,857.74,"{""bkLoss"":""0"",""bkPx"":""857.74"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""200"",""ts"":""1788221910452""}"
2026-09-01T00:18:43.358561Z,1788221922083,TAO-USDT-SWAP,buy,short,393,232.2,"{""bkLoss"":""0"",""bkPx"":""232.2"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""393"",""ts"":""1788221922083""}"
2026-09-01T00:18:51.856362Z,1788221930750,ONT-USDT-SWAP,sell,long,2,0.05181,"{""bkLoss"":""0"",""bkPx"":""0.05181"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""2"",""ts"":""1788221930750""}"
2026-09-01T00:18:57.008402Z,1788221935820,UNI-USDT-SWAP,buy,short,6,5.379,"{""bkLoss"":""0"",""bkPx"":""5.379"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""6"",""ts"":""1788221935820""}"
2026-09-01T00:18:58.768524Z,1788221937476,ZEC-USDT-SWAP,buy,short,9,857.97,"{""bkLoss"":""0"",""bkPx"":""857.97"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""9"",""ts"":""1788221937476""}"
2026-09-01T00:19:07.031403Z,1788221945827,PUMP-USDT-SWAP,sell,long,221,0.004638,"{""bkLoss"":""0"",""bkPx"":""0.004638"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""221"",""ts"":""1788221945827""}"
